Actor Target Time ActorPosX ActorPosY
WYRW _GGR 740 0 0
WYRW WPGR 810 0 0
WYRW W_BG 848 0 0
WYRW W_RG 852 0 0
WYRW WWGY 869 0 0
WYRW WW__2 875 0 0
WYRW WWGY 887 0 0
WYRW ____1 950 0 0
WYRW W_YY 962 0 0
WYRW WG__1 984 0 0
WYRW WW__(Z) 1045 0 0
WYRW W(G)Y_ 1089 0 0
WYRW WWRY 1107 0 0
WYRW WWRY 1131 0 0
WYRW W_YR 1153 0 0
WYRW W_YR 1256 0 0
WYWW WGG_ 0 0 0
WYWW WGRP 230 0 0
WYWW WGRP 305 0 0
WYWW WY__ 335 0 0
WYWW WPYY 342 0 0
WYWW WGRP 359 0 0
WYWW WGRP 1091 0 0
WYWW WY__ 1112 0 0
WYWW WRGW 1211 0 0
WYWW WW__1 1244 0 0
WYWW WYGR 1258 0 0
WYWW WR__ 1325 0 0
WYWW WGRP 1346 0 0
WYWW WGRP 1362 0 0
WYY_ WRGG 0 0 0
WYY_ WW__1 55 0 0
WYY_ WPYY 61 0 0
WYY_ WY_R 62 0 0
WYY_ Q 67 0 0
WYY_ WY_R 72 0 0
WYY_ W_YY 96 0 0
WYY_ _YYY 102 0 0
WYY_ WR__ 110 0 0
WYY_ WPGR 152 0 0
WYY_ WRWP 167 0 0
WYY_ WGWW 205 0 0
WYY_ WRWP 246 0 0
WYY_ WR__ 252 0 0

WYY_ WR__ 259 0 0
WYY_ WY_R 260 0 0
WYY_ WYRW 265 0 0
WYY_ WRWP 289 0 0
WYY_ WW__1 892 0 0
WYY_ WGWY 910 0 0
WYY_ WGGG 936 0 0
WYY_ WGGG 943 0 0
WYY_ WGGG 970 0 0
WYY_ WGGG 994 0 0
WYY_ WY_R 1072 0 0
WYY_ WW__ 1090 0 0
WYY_ _YGW 1170 0 0
WYY_ PYPG 1197 0 0
WYY_ WPYY 1220 0 0
WYY_ Q 1231 0 0
WYY_ WWR_ 1243 0 0
WYY_ WGWW 1254 0 0
WYY_ WWY_ 1270 0 0
WYY_ WYGR 1277 0 0
WYY_ WYWW 1311 0 0
WYY_ WG__1 1338 0 0
WYY_ WG__1 1356 0 0
WYY_ WRGG 1393 0 0
WYY_ WG__1 1407 0 0
WYY_ WYRR(DIE) 1423 0 0
WYYB WY_G2 30 0 0
WYYB WY_G2 68 0 0
WYYB WWRY 189 0 0
WYYB WRGW 383 0 0
WYYB WW__(H) 471 0 0
WYYB WBWY 891 0 0
WYYB DIE 1081 0 0
WYYB DIE 1223 0 0
WYYG WW__ 110 0 0
WYYG WW__ 121 0 0
WYYG WGRP 135 0 0
WYYG ____2 395 0 0
WYYG WY_G1 427 0 0
WYYG WWRY 758 0 0
WYYG WGRP 1207 0 0
WYYG WYG_ 1230 0 0
WYYG _GGR 1253 0 0
WYYG WYG_ 1320 0 0
WYYG Q 1395 0 0
